#Core, Mnt_Brown
#Top bag, 224
#Bottom bag, 232
#Loading differential counts used, 14.2
#Counts per mm, 25.0
#Intervals in secs used for core loading:
#1696, 1734
#3330, 3377
#4938, 4993
#6550, 6607
#8015, 8068
#9587, 9640
#11244, 11292
#12563, 12613
#13150, 13207
#
Elapsed_time	Epoch_time	Total_length
617	1571711073.09	358.44
618	1571711074.09	359.04
619	1571711075.09	359.64
620	1571711076.09	360.24
621	1571711077.09	360.84
622	1571711078.09	361.48
623	1571711079.09	362.08
624	1571711080.09	362.64
625	1571711081.09	363.24
626	1571711082.09	363.84
627	1571711083.09	364.44
628	1571711084.09	365.04
629	1571711085.09	365.64
630	1571711086.09	366.24
631	1571711087.09	366.84
632	1571711088.09	367.44
633	1571711089.09	368.04
634	1571711090.09	368.64
635	1571711091.09	369.24
636	1571711092.09	369.84
637	1571711093.09	370.44
638	1571711094.09	371.04
639	1571711095.09	371.64
640	1571711096.09	372.24
641	1571711097.09	372.84
642	1571711098.09	373.48
643	1571711099.09	374.08
644	1571711100.09	374.68
645	1571711101.09	375.28
646	1571711102.09	375.88
647	1571711103.09	376.48
648	1571711104.09	377.08
649	1571711105.09	377.68
650	1571711106.09	378.28
651	1571711107.09	378.88
652	1571711108.09	379.48
653	1571711109.09	380.08
654	1571711110.09	380.68
655	1571711111.09	381.28
656	1571711112.09	381.88
657	1571711113.09	382.48
658	1571711114.09	383.08
659	1571711115.09	383.68
660	1571711116.09	384.28
661	1571711117.09	384.88
662	1571711118.09	385.48
663	1571711119.09	386.08
664	1571711120.09	386.68
665	1571711121.09	387.28
666	1571711122.09	387.88
667	1571711123.09	388.48
668	1571711124.09	389.08
669	1571711125.09	389.68
670	1571711126.09	390.28
671	1571711127.09	390.88
672	1571711128.09	391.44
673	1571711129.09	392.04
674	1571711130.09	392.64
675	1571711131.09	393.24
676	1571711132.09	393.84
677	1571711133.09	394.44
678	1571711134.09	395.04
679	1571711135.09	395.64
680	1571711136.09	396.24
681	1571711137.09	396.84
682	1571711138.09	397.44
683	1571711139.09	398.04
684	1571711140.09	398.60
685	1571711141.09	399.20
686	1571711142.09	399.80
687	1571711143.09	400.40
688	1571711144.09	401.00
689	1571711145.09	401.60
690	1571711146.09	402.20
691	1571711147.09	402.80
692	1571711148.09	403.40
693	1571711149.09	404.00
694	1571711150.09	404.60
695	1571711151.09	405.20
696	1571711152.09	405.80
697	1571711153.09	406.40
698	1571711154.09	407.00
699	1571711155.09	407.60
700	1571711156.09	408.20
701	1571711157.09	408.80
702	1571711158.09	409.40
703	1571711159.09	410.00
704	1571711160.09	410.60
705	1571711161.09	411.20
706	1571711162.09	411.80
707	1571711163.09	412.40
708	1571711164.09	413.00
709	1571711165.09	413.60
710	1571711166.09	414.20
711	1571711167.09	414.80
712	1571711168.09	415.40
713	1571711169.09	416.00
714	1571711170.09	416.60
715	1571711171.09	417.20
716	1571711172.09	417.80
717	1571711173.09	418.40
718	1571711174.09	419.00
719	1571711175.09	419.60
720	1571711176.09	420.20
721	1571711177.09	420.80
722	1571711178.09	421.40
723	1571711179.09	422.00
724	1571711180.09	422.60
725	1571711181.09	423.20
726	1571711182.09	423.80
727	1571711183.09	424.36
728	1571711184.09	424.96
729	1571711185.09	425.56
730	1571711186.09	426.16
731	1571711187.09	426.76
732	1571711188.09	427.36
733	1571711189.09	427.96
734	1571711190.09	428.56
735	1571711191.09	429.16
736	1571711192.09	429.76
737	1571711193.09	430.36
738	1571711194.09	430.96
739	1571711195.09	431.56
740	1571711196.09	432.16
741	1571711197.09	432.76
742	1571711198.09	433.36
743	1571711199.09	433.96
744	1571711200.09	434.56
745	1571711201.09	435.16
746	1571711202.09	435.76
747	1571711203.09	436.32
748	1571711204.09	436.92
749	1571711205.09	437.52
750	1571711206.09	438.12
751	1571711207.09	438.72
752	1571711208.09	439.32
753	1571711209.09	439.92
754	1571711210.09	440.52
755	1571711211.09	441.12
756	1571711212.09	441.72
757	1571711213.09	442.32
758	1571711214.09	442.92
759	1571711215.09	443.52
760	1571711216.09	444.08
761	1571711217.09	444.68
762	1571711218.09	445.32
763	1571711219.09	445.88
764	1571711220.09	446.48
765	1571711221.09	447.08
766	1571711222.09	447.68
767	1571711223.09	448.28
768	1571711224.09	448.88
769	1571711225.09	449.48
770	1571711226.09	450.08
771	1571711227.09	450.68
772	1571711228.09	451.28
773	1571711229.09	451.88
774	1571711230.09	452.48
775	1571711231.09	453.08
776	1571711232.09	453.64
777	1571711233.09	454.24
778	1571711234.09	454.84
779	1571711235.09	455.44
780	1571711236.09	456.04
781	1571711237.09	456.64
782	1571711238.09	457.24
783	1571711239.09	457.84
784	1571711240.09	458.44
785	1571711241.09	459.00
786	1571711242.09	459.60
787	1571711243.09	460.20
788	1571711244.09	460.80
789	1571711245.09	461.40
790	1571711246.09	462.00
791	1571711247.09	462.56
792	1571711248.09	463.16
793	1571711249.09	463.76
794	1571711250.09	464.32
795	1571711251.09	464.92
796	1571711252.09	465.52
797	1571711253.09	466.12
798	1571711254.09	466.68
799	1571711255.09	467.28
800	1571711256.09	467.88
801	1571711257.09	468.48
802	1571711258.09	469.04
803	1571711259.09	469.64
804	1571711260.09	470.24
805	1571711261.09	470.84
806	1571711262.09	471.40
807	1571711263.09	472.00
808	1571711264.09	472.60
809	1571711265.09	473.20
810	1571711266.09	473.76
811	1571711267.09	474.36
812	1571711268.09	474.96
813	1571711269.09	475.56
814	1571711270.09	476.16
815	1571711271.09	476.72
